codigo;nombre;apellidoP;apellidoM;sexo;correo;numeroDoc;tipo
1;OLGA;CUENCA;CARRERA;F;n85gseza40@netscape.net;26881778;General
2;ANA ROSA;ALCAZAR;ALCARAZ;F;a0bjriz2@gmail.com;24217665;General
3;MIGUEL ANGEL;OLIVA;ARJONA;F;m0d3u2xh@msn.com;56502594;General
4;KEVIN;VALENZUELA;DEL VALLE;M;xwaue8bdr@unforgettable.com;10539864;General
5;MARIA TERESA;OLMEDO;PEÑA;F;dsi78w0e@yahoo.com;56789294;General
6;ESTRELLA;GRANDE;MORILLO;F;jsrusqse@btinternet.com;96603774;General
7;ROGELIO;PANIAGUA;LEAL;M;j4ix6m2z2@lycos.co.uk;50961878;General
8;MARIA ISABEL;POLO;SEGOVIA;F;2dc44teh@mail.com;94838908;General
9;VICTOR MANUEL;VARGAS;RAMON;M;gts5dtlen@talk21.com;48265192;General
10;ALEXANDRE;RAMIREZ;CARRASCO;M;vk9rsrbjn@writeme.com;31801533;General
11;MARCELINO;ROMERO;LOZANO;M;4uiguj673a@post.com;13431889;General
12;JOSEP;CASANOVA;LEON;M;u68f3u1628@lycos.nl;89560575;General
13;INMACULADA;VARGAS;POVEDA;F;holqpm0ntu@lycos.it;32206809;General
14;LUCIANO;REY;OLIVARES;F;dflb7iis1o@hotmail.com;87589189;General
15;JUAN PEDRO;OLMEDO;VALDES;M;u8edop8n@scientist.com;24001746;General
16;ADRIAN;PUIG;PULIDO;M;92x41ffacv@libero.it;33542732;General
17;ITZIAR;BALLESTER;VALLS;F;nnlkrh9cz@talk21.com;50528891;General
18;IRIS;RUBIO;PINEDA;F;ajclrvaiy@libero.it;46823145;General
19;RICARDO;DIAZ;POVEDA;M;qabjtvwd9@blu.it;16005243;General
20;JOSE;SERRA;LUCAS;M;niqdvb1e@lycos.es;41483594;General
21;JUAN CARLOS;VELASCO;FRANCO;M;8d20kpczq@lycos.it;95135894;General
22;RODRIGO;LOZANO;GUZMAN;M;gel3mu1re@hotmail.co.uk;42940742;General
23;JOEL;BORREGO;TEJERO;M;ectuq9rks@libero.it;98864284;General
24;ELVIRA;CABALLERO;SALVADOR;F;py6l8phjm@yahoo.com;67350796;General
25;CRISTIAN;REDONDO;PONS;M;iwrt1jvyv@gmail.com;12650277;General
26;FERMIN;PANIAGUA;GUTIERREZ;M;0y2q5djm@hotmail.co.uk;74391816;General
27;VICENTA;MURILLO;SANZ;F;o217w3peb@usa.com;16044702;General
28;JULIAN;SALINAS;HERNANDEZ;M;zmiws7lbhc@aol.com;21460458;General
29;JOSE JUAN;DIEZ;MILLAN;M;f8w7ei0w3@email.com;58632806;General
30;JULIO;BARREIRO;BERNAL;M;0pc9mh3xr@lycos.de;22855356;General
;;;;;;;
;;;;;;;
;;;;;;;
